Brand,Name,Notes,Cleaned_Notes,Exposure_Count,Priority,Action
Diptyque,Do Son - Eau de Parfum,nan,nan,1,P2,Manual Review Required
Comme des Garcons,Concrete Eau de Parfum,nan,nan,0,P3,Manual Review Required
Comme des Garcons: Olfactory Library,Eau de Cologne Eau de Toilette,nan,nan,0,P3,Manual Review Required
Filippo Sorcinelli - SAUF,Unda Maris 8 Extrait de Parfum,nan,nan,0,P3,Manual Review Required
Filippo Sorcinelli - SAUF,Violon Basse 16 Extrait de Parfum,nan,nan,0,P3,Manual Review Required
Mad et Len,Red Musc Eau de Parfum,nan,nan,0,P3,Manual Review Required
Mad et Len,Vetyver Bucolique Eau de Parfum,nan,nan,0,P3,Manual Review Required
Mad et Len,Fuego Flores Eau de Parfum,nan,nan,1,P2,Manual Review Required
Mad et Len,Black Afghan Eau de Parfum,nan,nan,0,P3,Manual Review Required
Floris London,Bergamotto di Positano Eau de Parfum,nan,nan,0,P3,Manual Review Required
Shay and Blue,Oud Alif Fragrance Concentr챕e,"Oud, chocolat noir, saffron, leather, patchouli","Oud, chocolat noir, saffron, leather, patchouli",0,P3,Manual Review Required
Shay and Blue,Blacks Club Leather Fragrance Concentr챕e,"English leather, cognac, mahogany, firewood, beeswax","English leather, cognac, mahogany, firewood, beeswax",0,P3,Manual Review Required
Tauerville,Fruitchouli Eau de Parfum,nan,nan,0,P3,Manual Review Required
Tauerville,Rose Flash Parfum Extrait,nan,nan,0,P3,Manual Review Required
Orto Parisi,Terroni Parfum,nan,nan,1,P2,Manual Review Required
Orto Parisi,Seminalis Parfum,nan,nan,0,P3,Manual Review Required
Orto Parisi,Boccanera Parfum,nan,nan,1,P2,Manual Review Required
Orto Parisi,Brutus Parfum,nan,nan,0,P3,Manual Review Required
Orto Parisi,Viride Parfum,nan,nan,0,P3,Manual Review Required
Orto Parisi,Bergamask Parfum,nan,nan,0,P3,Manual Review Required
4160 Tuesdays,What I Did on My Holidays Eau de Parfum,nan,nan,0,P3,Manual Review Required
Essential Faith,Aura Perfume Oil,nan,nan,0,P3,Manual Review Required
Byredo,Mojave Ghost Hair Perfume,nan,nan,0,P3,Manual Review Required
TOM FORD Private Blend,Tuscan Leather Body Spray Scented Body Spray,nan,nan,0,P3,Manual Review Required
TOM FORD Private Blend,Tobacco Vanille Body Spray Scented Body Spray,nan,nan,0,P3,Manual Review Required
TOM FORD Private Blend,Noir de Noir Body Spray Scented Body Spray,nan,nan,0,P3,Manual Review Required
Xerjoff - Join the Club,Ivory Route Eau de Parfum,nan,nan,0,P3,Manual Review Required
Xerjoff - Join the Club,More than Words Eau de Parfum,nan,nan,0,P3,Manual Review Required
Xerjoff - Join the Club,Comandante Eau de Parfum,nan,nan,0,P3,Manual Review Required
Xerjoff - Join the Club,40 Knots Eau de Parfum,nan,nan,0,P3,Manual Review Required
Santa Maria Novella,Alba di Seoul Cologne Eau de Cologne,nan,nan,0,P3,Manual Review Required
Santa Maria Novella,Angels of Florence Cologne Eau de Cologne,nan,nan,0,P3,Manual Review Required
Santa Maria Novella,Citta di Kyoto Cologne Eau de Cologne,nan,nan,1,P2,Manual Review Required
Santa Maria Novella,Vetiver Cologne Eau de Cologne,nan,nan,0,P3,Manual Review Required
Santa Maria Novella,Spanish Leather Cologne Eau de Cologne,nan,nan,0,P3,Manual Review Required
Santa Maria Novella,Carnation / Garofano Cologne Eau de Cologne,nan,nan,0,P3,Manual Review Required
